metric,mean,std
exact_accuracy,0.5842142353770261,0.10340694434937596
depth_accuracy,0.6608527131782945,0.09664695844799755
width_accuracy,0.7151162790697674,0.05546158147772937
depth_macro_f1,0.4999186026181342,0.1656717576213669
width_macro_f1,0.4817150855237345,0.09778259307637076
strategy_macro_f1,0.2577496871882711,0.09669703444513701
depth_abs_error,0.47815362931641997,0.16687288992071714
width_abs_error,0.6929175475687103,0.1451699841362659
cost_sensitive_error,0.8246124031007751,0.23350702734393508
loss,0.24009758527286576,0.03193999204287331
mean_pred_llm_f1,0.43355554223636344,0.07538556765477754
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.20224133601080982,0.08120795243002198
mean_pred_minus_baseline_f1,0.1579126331733065,0.07795211909298672
