metric,mean,std
exact_accuracy,0.5232558139534884,0.05068487143651949
depth_accuracy,0.6231501057082452,0.04723573855371347
width_accuracy,0.7228682170542635,0.026216568330365658
depth_macro_f1,0.3763820897417843,0.057257882204861055
width_macro_f1,0.48617208471039114,0.10491338567146508
strategy_macro_f1,0.2073343614475098,0.024399307280964788
depth_abs_error,0.5919661733615222,0.11149088265061487
width_abs_error,0.662262156448203,0.08862960296749826
cost_sensitive_error,0.9230972515856237,0.08723932790826672
loss,1.2292736122505885,0.1218652641131177
mean_pred_llm_f1,0.39116308513505876,0.0635907436359706
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.24463379311211444,0.05783437772571302
mean_pred_minus_baseline_f1,0.11552017607200186,0.05936954849839503
