metric,mean,std
exact_accuracy,0.6200980392156863,0.02971655797299545
depth_accuracy,0.9203431372549019,0.03295178838173715
width_accuracy,0.6397058823529412,0.012735667702712353
depth_macro_f1,0.42707315086347347,0.09922446300691974
width_macro_f1,0.31578483245149913,0.12290775340048442
strategy_macro_f1,0.2415373946849695,0.07616198519085607
depth_abs_error,0.13848039215686272,0.08826082147073941
width_abs_error,0.6384803921568628,0.11006921514329362
cost_sensitive_error,0.4577205882352941,0.09979095255985268
loss,1.417700520258478,0.3456322072164642
mean_pred_support_fbeta,0.3167157209539613,0.03258552232894436
mean_best_support_fbeta,0.37101011050040394,0.01461973889094056
mean_baseline_support_fbeta,0.27587084358729497,0.024662372158123055
mean_best_minus_pred_support_fbeta,0.05429438954644266,0.03277016196503111
mean_pred_minus_baseline_support_fbeta,0.04084487736666628,0.02497469922195806
mean_pred_llm_f1,0.476232917409388,0.11329361239256296
mean_baseline_llm_f1,0.39661319073083784,0.052281673354946386
