metric,mean,std
exact_accuracy,0.5,0.03488372093023254
depth_accuracy,0.6079985905567301,0.07782369475628899
width_accuracy,0.6842847075405215,0.051018147421390464
depth_macro_f1,0.33236267244887935,0.04543583588449014
width_macro_f1,0.38984416121512894,0.10157325562531175
strategy_macro_f1,0.16822119679262534,0.020601875772709288
depth_abs_error,0.5687103594080338,0.15133640734184592
width_abs_error,0.7699083861874559,0.0893490045267569
cost_sensitive_error,0.9536645525017619,0.16406956051119378
loss,0.6903925833590908,0.03447688707545186
mean_pred_llm_f1,0.37090841656357937,0.04606534942087622
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.26488846168359387,0.04034260568594393
mean_pred_minus_baseline_f1,0.09526550750052241,0.04177886397289698
