fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,2,0.5348837209302325,0.6976744186046512,0.6976744186046512,0.3846153846153846,0.38181818181818183,0.15501958359101217,0.3953488372093023,0.7674418604651163,0.7790697674418605,43.0,0.4239562948467058,0.6443958068687701,0.28132458462837184,0.22043951202206433,0.14263171021833393,0.7300878002332613
2,7,0.5,0.5681818181818182,0.7272727272727273,0.3021551724137931,0.4951923076923077,0.19196042053184909,0.6363636363636364,0.6818181818181818,0.9772727272727273,44.0,0.34776949950634156,0.6228099885049038,0.26826209463051565,0.2750404889985621,0.07950740487582593,0.6679233226952813
3,4,0.46511627906976744,0.5581395348837209,0.627906976744186,0.3103174603174603,0.2925219941348973,0.1576835862550148,0.6744186046511628,0.8604651162790697,1.1046511627906976,43.0,0.3409994553376906,0.6401848393678459,0.2773420479302832,0.29918538403015527,0.0636574074074074,0.6731666271487298
