metric,mean,std
exact_accuracy,0.4693446088794926,0.05953542427200302
depth_accuracy,0.6155743481324877,0.07296421814270078
width_accuracy,0.638477801268499,0.011771172014439816
depth_macro_f1,0.36188779075571526,0.09074486522661587
width_macro_f1,0.2580628603016663,0.05829555596851844
strategy_macro_f1,0.1284527319370525,0.03298625818488025
depth_abs_error,0.5921423537702607,0.09486738358003412
width_abs_error,0.8382663847780126,0.02485830024588763
cost_sensitive_error,1.011275546159267,0.10317435212925587
loss,0.2356399496786601,0.013200351289172284
mean_pred_llm_f1,0.35825988820562027,0.057706972898202674
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.27753699004155297,0.053445329326019954
mean_pred_minus_baseline_f1,0.08261697914256334,0.054253319641069414
