fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,6,0.5348837209302325,0.6976744186046512,0.6511627906976745,0.4666666666666667,0.30514096185737977,0.16612742658038826,0.4883720930232558,0.813953488372093,0.8953488372093024,43.0,0.42309197651663405,0.6443958068687701,0.28132458462837184,0.22130383035213608,0.14176739188826215,0.2297363490445898
2,8,0.45454545454545453,0.5909090909090909,0.6363636363636364,0.3086792452830189,0.2761904761904762,0.10476190476190476,0.6136363636363636,0.8636363636363636,1.0454545454545454,44.0,0.33917407154249263,0.6228099885049038,0.26826209463051565,0.28363591696241114,0.07091197691197691,0.25076179103188756
3,4,0.4186046511627907,0.5581395348837209,0.627906976744186,0.3103174603174603,0.19285714285714287,0.11446886446886448,0.6744186046511628,0.8372093023255814,1.0930232558139534,43.0,0.3125136165577342,0.6401848393678459,0.2773420479302832,0.3276712228101117,0.03517156862745098,0.2264217089595028
