metric,mean,std
exact_accuracy,0.5416666666666666,0.21816479226934968
depth_accuracy,0.9399509803921569,0.0021226112837853814
width_accuracy,0.5416666666666666,0.21816479226934968
depth_macro_f1,0.4845226458129684,0.0005643697646037393
width_macro_f1,0.30922619047619043,0.15975989770579468
strategy_macro_f1,0.2616499582289056,0.1447533436401132
depth_abs_error,0.07965686274509803,0.03295178838173714
width_abs_error,0.7169117647058824,0.24549905918818454
cost_sensitive_error,0.43811274509803927,0.1555491780270485
loss,0.7602717444124291,0.1358826760570475
mean_pred_support_fbeta,0.3171879998416518,0.03351090854062948
mean_best_support_fbeta,0.37101011050040394,0.01461973889094056
mean_baseline_support_fbeta,0.27587084358729497,0.024662372158123055
mean_best_minus_pred_support_fbeta,0.053822110658752115,0.035051669899950406
mean_pred_minus_baseline_support_fbeta,0.04131715625435683,0.028098551241669156
mean_pred_llm_f1,0.4860368389780154,0.09745545427864524
mean_baseline_llm_f1,0.39661319073083784,0.052281673354946386
