fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_support_fbeta,mean_best_support_fbeta,mean_baseline_support_fbeta,mean_best_minus_pred_support_fbeta,mean_pred_minus_baseline_support_fbeta,mean_pred_llm_f1,mean_baseline_llm_f1,loss
1,7,0.5882352941176471,0.7647058823529411,0.6470588235294118,0.43333333333333335,0.4466374269005848,0.3070175438596491,0.23529411764705882,0.7058823529411765,0.5882352941176471,17.0,0.3095162796301316,0.3541323242461763,0.2511060046557004,0.04461604461604462,0.05841027497443122,0.5,0.38235294117647056,0.10464269250769787
2,5,0.35294117647058826,0.4117647058823529,0.4117647058823529,0.15217391304347827,0.3645833333333333,0.140625,0.9411764705882353,0.9411764705882353,1.411764705882353,17.0,0.31573316590192196,0.37914566618054796,0.27607707050431507,0.06341250027862604,0.03965609539760685,0.4411764705882353,0.35294117647058826,0.1223716680825853
3,8,0.625,0.9375,0.625,0.4838709677419355,0.29642857142857143,0.24661654135338346,0.0625,0.5625,0.34375,16.0,0.3522989107666527,0.37975234107448747,0.3004294556018694,0.027453430307834783,0.05186945516478331,0.6060606060606061,0.45454545454545453,0.07782414639818029
