fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,2,0.5813953488372093,0.6744186046511628,0.6976744186046512,0.4488856589147287,0.373015873015873,0.18408365827720666,0.4883720930232558,0.6976744186046512,0.8372093023255814,43.0,0.476061443563246,0.6443958068687701,0.28132458462837184,0.16833436330552407,0.19473685893487414,1.996864583769143
2,5,0.5227272727272727,0.6363636363636364,0.6818181818181818,0.4246031746031746,0.34730113636363635,0.167769522835968,0.5681818181818182,0.7045454545454546,0.9204545454545454,44.0,0.3703400167084378,0.6228099885049038,0.26826209463051565,0.25246997179646596,0.10207792207792207,1.7491033958084206
3,3,0.4883720930232558,0.5581395348837209,0.6511627906976745,0.3221311475409836,0.38911290322580644,0.21323914181057038,0.7209302325581395,0.8372093023255814,1.1395348837209303,43.0,0.36725606909430436,0.6401848393678459,0.2773420479302832,0.2729287702735415,0.08991402116402117,1.7524823689403743
