fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,2,0.5581395348837209,0.6744186046511628,0.6744186046511628,0.49802955665024634,0.3554590570719603,0.17106037078863165,0.5116279069767442,0.7209302325581395,0.872093023255814,43.0,0.4623628134262597,0.6443958068687701,0.28132458462837184,0.18203299344251037,0.18103822879788783,2.6303882982658946
2,5,0.5454545454545454,0.6136363636363636,0.7272727272727273,0.3685897435897436,0.49648268398268397,0.2230131076820972,0.5454545454545454,0.6136363636363636,0.8522727272727273,44.0,0.36967335004177104,0.6228099885049038,0.26826209463051565,0.25313663846313267,0.10141125541125541,2.201236438767851
3,12,0.5116279069767442,0.627906976744186,0.6976744186046512,0.31798245614035087,0.36979166666666663,0.13506493506493505,0.6046511627906976,0.7441860465116279,0.9767441860465116,43.0,0.3786375661375661,0.6401848393678459,0.2773420479302832,0.26154727323027976,0.10129551820728293,1.9917919883778277
