metric,mean,std
exact_accuracy,0.5384073291050036,0.024043301070094385
depth_accuracy,0.6386539816772375,0.031784332492103023
width_accuracy,0.6997885835095138,0.026490410330109255
depth_macro_f1,0.39486725212678025,0.09285537244387439
width_macro_f1,0.40724446924043695,0.07761411052274006
strategy_macro_f1,0.1763794711785546,0.044214702174651094
depth_abs_error,0.5539112050739957,0.047084688057759144
width_abs_error,0.6929175475687104,0.06963718701201074
cost_sensitive_error,0.9003699788583509,0.06688030858129586
loss,2.2744722418038577,0.325536363384201
mean_pred_llm_f1,0.40355790986853224,0.051123397817224976
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.23223896837864091,0.0436825438105671
mean_pred_minus_baseline_f1,0.12791500080547538,0.046006101367378115
