fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,7,0.5581395348837209,0.6976744186046512,0.6744186046511628,0.5000612594952218,0.4531746031746032,0.23925667828106853,0.46511627906976744,0.6511627906976745,0.7906976744186046,43.0,0.4323780341264119,0.6443958068687701,0.28132458462837184,0.21201777274235817,0.15105344949804003,0.4141585319732618
2,2,0.38636363636363635,0.5681818181818182,0.6136363636363636,0.2653880463871543,0.19014084507042253,0.061616954474097325,0.6590909090909091,0.8863636363636364,1.1022727272727273,44.0,0.30394463431305535,0.6228099885049038,0.26826209463051565,0.31886535419184836,0.035682539682539684,0.40252443870170684
3,3,0.4418604651162791,0.5581395348837209,0.627906976744186,0.31306471306471306,0.26545842217484006,0.13892668178382464,0.6976744186046512,0.8604651162790697,1.127906976744186,43.0,0.3264025054466231,0.6401848393678459,0.2773420479302832,0.3137823339212228,0.04906045751633987,0.39353786934831275
