metric,mean,std
exact_accuracy,0.4621212121212121,0.08766192577164858
depth_accuracy,0.6079985905567301,0.07782369475628899
width_accuracy,0.6386539816772375,0.031784332492103023
depth_macro_f1,0.35950467298236305,0.12403782344704709
width_macro_f1,0.3029246234732886,0.1354602401275151
strategy_macro_f1,0.14660010484633015,0.08906811401773587
depth_abs_error,0.6072938689217758,0.12463154533942725
width_abs_error,0.7993305144467936,0.12896875244177994
cost_sensitive_error,1.0069591261451727,0.1877259713349575
loss,0.40340694667442717,0.010338619202506146
mean_pred_llm_f1,0.3542417246286968,0.06859337533905902
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.28155515361847644,0.060274744114767104
mean_pred_minus_baseline_f1,0.07859881556563986,0.06310307167722157
