metric,mean,std
exact_accuracy,0.47727272727272724,0.05259715546298912
depth_accuracy,0.5924947145877378,0.05105555042589195
width_accuracy,0.6693093727977448,0.008849449157769109
depth_macro_f1,0.30842167092167094,0.02911101931428329
width_macro_f1,0.35121526439899514,0.011203993660607186
strategy_macro_f1,0.1549170023794084,0.012666872768943738
depth_abs_error,0.6074700493305144,0.08515475524632449
width_abs_error,0.7841789992952783,0.0602544725047197
cost_sensitive_error,0.9995595489781536,0.11057896372594372
loss,0.6829421568209583,0.037283900946482686
mean_pred_llm_f1,0.3666703495890307,0.05671041091302512
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.2691265286581425,0.05000172553975613
mean_pred_minus_baseline_f1,0.09102744052597382,0.05197752335890517
