fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,6,0.5348837209302325,0.6511627906976745,0.6744186046511628,0.33653846153846156,0.3554590570719603,0.14029391660970608,0.5116279069767442,0.7209302325581395,0.872093023255814,43.0,0.43215372907153726,0.6443958068687701,0.28132458462837184,0.2122420777972328,0.1508291444431654,0.6529017335016845
2,2,0.4318181818181818,0.5681818181818182,0.6590909090909091,0.27840909090909094,0.33850931677018636,0.1625,0.6363636363636364,0.8409090909090909,1.0568181818181819,44.0,0.33380230880230877,0.6228099885049038,0.26826209463051565,0.28900767970259494,0.0655402141717931,0.724669464820075
3,4,0.46511627906976744,0.5581395348837209,0.6744186046511628,0.3103174603174603,0.3596774193548387,0.16195709052851906,0.6744186046511628,0.7906976744186046,1.069767441860465,43.0,0.3340550108932462,0.6401848393678459,0.2773420479302832,0.3061298284745997,0.05671296296296297,0.6712552721411155
