fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_support_fbeta,mean_best_support_fbeta,mean_baseline_support_fbeta,mean_best_minus_pred_support_fbeta,mean_pred_minus_baseline_support_fbeta,mean_pred_llm_f1,mean_baseline_llm_f1,loss
1,10,0.7058823529411765,0.8823529411764706,0.7058823529411765,0.46875,0.475,0.35634920634920636,0.11764705882352941,0.5882352941176471,0.4117647058823529,17.0,0.3137179603024005,0.3541323242461763,0.2511060046557004,0.040414363943775705,0.06261195564670013,0.47058823529411764,0.38235294117647056,0.18655852609152854
2,11,0.47058823529411764,0.9411764705882353,0.47058823529411764,0.48484848484848486,0.3645833333333333,0.29166666666666663,0.11764705882352941,1.0588235294117647,0.6470588235294118,17.0,0.32212205767143653,0.37914566618054796,0.27607707050431507,0.05702360850911143,0.04604498716712146,0.38235294117647056,0.35294117647058826,0.13791622719838698
3,6,0.625,0.75,0.625,0.42857142857142855,0.2875,0.22456140350877193,0.25,0.625,0.5625,16.0,0.3500180375180375,0.37975234107448747,0.3004294556018694,0.029734303556449966,0.04958858191616813,0.5757575757575758,0.45454545454545453,0.21062344299062016
