metric,mean,std
exact_accuracy,0.5992647058823529,0.04334494897996912
depth_accuracy,0.8419117647058824,0.16875760908130147
width_accuracy,0.6188725490196079,0.04882005952706396
depth_macro_f1,0.44012260141292403,0.07662250673579105
width_macro_f1,0.3048315232525759,0.12840535710036122
strategy_macro_f1,0.23338902812587017,0.08044467899476368
depth_abs_error,0.21691176470588236,0.221413895954611
width_abs_error,0.738970588235294,0.0738046319848703
cost_sensitive_error,0.5863970588235294,0.2143968742307844
loss,0.48153524000939313,0.08729218698635482
mean_pred_support_fbeta,0.3109472519501981,0.035607239436585905
mean_best_support_fbeta,0.37101011050040394,0.01461973889094056
mean_baseline_support_fbeta,0.27587084358729497,0.024662372158123055
mean_best_minus_pred_support_fbeta,0.06006285855020577,0.03773321967421219
mean_pred_minus_baseline_support_fbeta,0.03507640836290316,0.030924998314215912
mean_pred_llm_f1,0.4863339275103981,0.12711188993151776
mean_baseline_llm_f1,0.39661319073083784,0.052281673354946386
