metric,mean,std
exact_accuracy,0.4157857646229739,0.0831093614534493
depth_accuracy,0.5695912614517266,0.0709040238341218
width_accuracy,0.6386539816772375,0.031784332492103023
depth_macro_f1,0.24573223661221766,0.09305172439549816
width_macro_f1,0.24332256163242075,0.08977132652542384
strategy_macro_f1,0.07773129748644092,0.053105036897217135
depth_abs_error,0.6300211416490487,0.1435765483835065
width_abs_error,0.8380902043692742,0.047839064163348786
cost_sensitive_error,1.0490662438336857,0.16556429122137228
loss,0.23339829248516827,0.005923492179283017
mean_pred_llm_f1,0.3211108571250823,0.0704358057751745
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.31468602112209093,0.06375994174848068
mean_pred_minus_baseline_f1,0.045467948062025414,0.06576111299605063
