fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,3,0.5116279069767442,0.6511627906976745,0.6744186046511628,0.3516042780748663,0.34696969696969693,0.13880552220888356,0.46511627906976744,0.7906976744186046,0.8604651162790697,43.0,0.40242987606001307,0.6443958068687701,0.28132458462837184,0.24196593080875706,0.12110529143164114,0.23660328830687
2,2,0.36363636363636365,0.5227272727272727,0.6136363636363636,0.2086693548387097,0.19014084507042253,0.05194805194805195,0.7272727272727273,0.8863636363636364,1.1704545454545454,44.0,0.2817224120908331,0.6228099885049038,0.26826209463051565,0.3410875764140706,0.013460317460317462,0.2370287441188079
3,4,0.37209302325581395,0.5348837209302325,0.627906976744186,0.17692307692307693,0.19285714285714287,0.042440318302387266,0.6976744186046512,0.8372093023255814,1.1162790697674418,43.0,0.27918028322440086,0.6401848393678459,0.2773420479302832,0.361004556143445,0.001838235294117647,0.22656284502982696
