metric,mean,std
exact_accuracy,0.5612745098039216,0.08065922878384478
depth_accuracy,0.8811274509803922,0.05699517624624259
width_accuracy,0.5808823529411765,0.09615218257810311
depth_macro_f1,0.415994623655914,0.09106864732629522
width_macro_f1,0.37060185185185185,0.07054794541927252
strategy_macro_f1,0.26485542560103964,0.03259871800350334
depth_abs_error,0.13848039215686275,0.06580094979734706
width_abs_error,0.7352941176470589,0.33405343210589844
cost_sensitive_error,0.5061274509803922,0.2136258256108924
loss,0.3699163720839073,0.14684822686119425
mean_pred_support_fbeta,0.32686853746121464,0.022506229003404057
mean_best_support_fbeta,0.37101011050040394,0.01461973889094056
mean_baseline_support_fbeta,0.27587084358729497,0.024662372158123055
mean_best_minus_pred_support_fbeta,0.04414157303918923,0.016456037849457213
mean_pred_minus_baseline_support_fbeta,0.050997693873919704,0.00788468944148859
mean_pred_llm_f1,0.4860368389780154,0.09745545427864524
mean_baseline_llm_f1,0.39661319073083784,0.052281673354946386
