fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_support_fbeta,mean_best_support_fbeta,mean_baseline_support_fbeta,mean_best_minus_pred_support_fbeta,mean_pred_minus_baseline_support_fbeta,mean_pred_llm_f1,mean_baseline_llm_f1,loss
1,5,0.5882352941176471,0.8235294117647058,0.6470588235294118,0.45161290322580644,0.4472222222222222,0.3009259259259259,0.17647058823529413,0.5882352941176471,0.47058823529411764,17.0,0.3095162796301316,0.3541323242461763,0.2511060046557004,0.04461604461604462,0.05841027497443122,0.5,0.38235294117647056,0.48438217390532
2,7,0.47058823529411764,0.8823529411764706,0.47058823529411764,0.3125,0.35624999999999996,0.23749999999999996,0.17647058823529413,1.1176470588235294,0.7352941176470589,17.0,0.3187904219868597,0.37914566618054796,0.27607707050431507,0.06035524419368829,0.0427133514825446,0.38235294117647056,0.35294117647058826,0.42102361559027546
3,11,0.625,0.9375,0.625,0.4838709677419355,0.30833333333333335,0.256140350877193,0.0625,0.5,0.3125,16.0,0.3522989107666527,0.37975234107448747,0.3004294556018694,0.027453430307834783,0.05186945516478331,0.5757575757575758,0.45454545454545453,0.20434332675612638
