metric,mean,std
exact_accuracy,0.5919661733615222,0.05191555669263712
depth_accuracy,0.7077167019027485,0.08144166881690136
width_accuracy,0.6844608879492601,0.029040923610604966
depth_macro_f1,0.5820697577276525,0.14491732288252354
width_macro_f1,0.4243129635118001,0.09268309495944341
strategy_macro_f1,0.3016277204621075,0.11384464177983664
depth_abs_error,0.4309372797744891,0.07228723177565087
width_abs_error,0.6615574348132487,0.034949060041617255
cost_sensitive_error,0.7617159971811134,0.0894704673371868
loss,0.08464665144630557,0.025048871755437237
mean_pred_llm_f1,0.44972456997989113,0.054180366565209546
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.18607230826728208,0.055914099074738516
mean_pred_minus_baseline_f1,0.17408166091683427,0.054135286212054996
