fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,7,0.6046511627906976,0.7906976744186046,0.6976744186046512,0.7416666666666667,0.5091525857654889,0.42982456140350883,0.37209302325581395,0.627906976744186,0.686046511627907,43.0,0.4951997237251064,0.6443958068687701,0.28132458462837184,0.14919608314366362,0.21387513909673458,0.05582553445758029
2,3,0.6363636363636364,0.7045454545454546,0.7045454545454546,0.5458333333333333,0.4383894793730859,0.2627241395714302,0.4090909090909091,0.6590909090909091,0.7386363636363636,44.0,0.464196130627888,0.6228099885049038,0.26826209463051565,0.15861385787701573,0.1959340359973723,0.10116751509917016
3,2,0.5348837209302325,0.627906976744186,0.6511627906976745,0.4587092731829574,0.32539682539682535,0.21233446041138349,0.5116279069767442,0.6976744186046512,0.8604651162790697,43.0,0.3897778555866791,0.6401848393678459,0.2773420479302832,0.2504069837811668,0.1124358076563959,0.09694690478216625
