metric,mean,std
exact_accuracy,0.538231148696265,0.04347017296851927
depth_accuracy,0.6303735024665258,0.06440689253296646
width_accuracy,0.7073643410852712,0.05079590086077965
depth_macro_f1,0.39481809397431383,0.0692452433568517
width_macro_f1,0.4746875344979853,0.09076124113321471
strategy_macro_f1,0.21850260572065083,0.017569550291200938
depth_abs_error,0.5623678646934461,0.14025376989955166
width_abs_error,0.6929175475687104,0.08996852288873783
cost_sensitive_error,0.9088266384778013,0.1849061651937337
loss,3.1834407692718485,0.11518516841487969
mean_pred_llm_f1,0.392223609038264,0.03205900108458164
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.24357326920890923,0.029090321234686082
mean_pred_minus_baseline_f1,0.1165806999752071,0.02908119676196662
