fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,2,0.5116279069767442,0.6744186046511628,0.6511627906976745,0.36781206171107994,0.30514096185737977,0.13100937672366245,0.4883720930232558,0.813953488372093,0.8953488372093024,43.0,0.4166503587736465,0.6443958068687701,0.28132458462837184,0.22774544809512368,0.13532577414527455,0.39662994955472175
2,2,0.38636363636363635,0.5454545454545454,0.6136363636363636,0.242156862745098,0.19014084507042253,0.06424079065588499,0.7045454545454546,0.8863636363636364,1.1477272727272727,44.0,0.30394463431305535,0.6228099885049038,0.26826209463051565,0.31886535419184836,0.035682539682539684,0.4012254095195803
3,3,0.4418604651162791,0.5581395348837209,0.6511627906976745,0.31306471306471306,0.2699579831932773,0.13815708101422386,0.6976744186046512,0.813953488372093,1.1046511627906976,43.0,0.3264025054466231,0.6401848393678459,0.2773420479302832,0.3137823339212228,0.04906045751633987,0.3907420715547588
