metric,mean,std
exact_accuracy,0.4466173361522199,0.06276746959690115
depth_accuracy,0.5926708949964764,0.07107913381960106
width_accuracy,0.6386539816772375,0.021665892765572656
depth_macro_f1,0.3076778791736303,0.06300056143656749
width_macro_f1,0.2550799300403599,0.05892600499328992
strategy_macro_f1,0.11113574946459043,0.040769170832983134
depth_abs_error,0.6301973220577871,0.12287228929562563
width_abs_error,0.8380902043692742,0.04180601843497818
cost_sensitive_error,1.049242424242424,0.13500486994644958
loss,0.3961991435430203,0.005254929979167699
mean_pred_llm_f1,0.348999166177775,0.0596540182108109
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.28679771206939825,0.05120387372195052
mean_pred_minus_baseline_f1,0.07335625711471803,0.05408241814251932
