metric,mean,std
exact_accuracy,0.5,0.03488372093023254
depth_accuracy,0.6231501057082452,0.07025225555034585
width_accuracy,0.6844608879492601,0.029040923610604966
depth_macro_f1,0.3837515613377682,0.07300602233708918
width_macro_f1,0.392930796055796,0.09263913685804173
strategy_macro_f1,0.1701765958908816,0.02132211768022927
depth_abs_error,0.5535588442565187,0.1432349973601756
width_abs_error,0.7924594785059901,0.03884448409502413
cost_sensitive_error,0.9497885835095138,0.1587710043869762
loss,0.6839644575564722,0.03774631412115666
mean_pred_llm_f1,0.3697232313783941,0.046994703043315086
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.2660736468687791,0.04083914693551997
mean_pred_minus_baseline_f1,0.09408032231533724,0.042493720429819165
