metric,mean,std
exact_accuracy,0.5310077519379846,0.044022545316281206
depth_accuracy,0.6465821000704721,0.06699212261430057
width_accuracy,0.7075405214940099,0.017088591477071376
depth_macro_f1,0.3895269804664358,0.08345231972779239
width_macro_f1,0.4529302986782495,0.07200349938143108
strategy_macro_f1,0.18673721296374998,0.0034638473510511443
depth_abs_error,0.5761099365750528,0.13904150713988692
width_abs_error,0.7078928823114868,0.03241528014688352
cost_sensitive_error,0.9300563777307963,0.1228586472610463
loss,1.2497807344040863,0.10746726762540512
mean_pred_llm_f1,0.40505318438463517,0.05457816319020997
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.2307436938625381,0.044941509344511056
mean_pred_minus_baseline_f1,0.12941027532157823,0.04846212479279059
