fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_support_fbeta,mean_best_support_fbeta,mean_baseline_support_fbeta,mean_best_minus_pred_support_fbeta,mean_pred_minus_baseline_support_fbeta,mean_pred_llm_f1,mean_baseline_llm_f1,loss
1,2,0.6,0.9,0.6,0.47368421052631576,0.2923076923076923,0.24666666666666667,0.1,0.7,0.45,10.0,0.2961073318216175,0.33543417366946776,0.24452003023431593,0.03932684184785024,0.05158730158730159,0.38095238095238093,0.3333333333333333,0.4613020681960072
2,9,0.7272727272727273,0.9090909090909091,0.7272727272727273,0.47619047619047616,0.5807692307692308,0.46461538461538465,0.09090909090909091,0.36363636363636365,0.2727272727272727,11.0,0.42483101930106537,0.4520419036548069,0.35669502910882217,0.0272108843537415,0.06813599019224317,0.42857142857142855,0.2857142857142857,0.5672856440566945
3,8,0.5,0.8,0.5,0.2962962962962963,0.3666666666666667,0.27777777777777773,0.3,0.7,0.65,10.0,0.35497376916868445,0.3923172001040854,0.2872919478182636,0.037343430935400934,0.0676818213504208,0.5,0.45,0.512675254173079
4,6,0.4444444444444444,0.7777777777777778,0.5555555555555556,0.4375,0.43333333333333335,0.26666666666666666,0.2222222222222222,0.7777777777777778,0.6111111111111112,9.0,0.3048273175607641,0.3326864706175051,0.2630105325205144,0.02785915305674102,0.04181678504024971,0.5789473684210527,0.47368421052631576,0.38938188530661366
5,19,0.6,0.7,0.7,0.2745098039215686,0.3557692307692308,0.2626262626262626,0.7,0.7,1.05,10.0,0.2936507936507936,0.3379447181171319,0.2234920634920635,0.044293924466338265,0.07015873015873016,0.45,0.45,0.1895357546882545
