fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,2,0.5348837209302325,0.6511627906976745,0.6744186046511628,0.3560606060606061,0.34696969696969693,0.1452303143479614,0.4883720930232558,0.7906976744186046,0.8837209302325582,43.0,0.4333931289410741,0.6443958068687701,0.28132458462837184,0.21100267792769595,0.15206854431270228,0.3949622905181642
2,2,0.36363636363636365,0.5454545454545454,0.6136363636363636,0.2391513982642237,0.19014084507042253,0.051587301587301584,0.7045454545454546,0.8863636363636364,1.1477272727272727,44.0,0.290611300979722,0.6228099885049038,0.26826209463051565,0.3321986875251817,0.02234920634920635,0.39977369057991985
3,7,0.4883720930232558,0.5813953488372093,0.6976744186046512,0.33218125960061445,0.45312499999999994,0.2167636285283344,0.6976744186046512,0.7209302325581395,1.058139534883721,43.0,0.34192538126361655,0.6401848393678459,0.2773420479302832,0.2982594581042293,0.06458333333333334,0.4285479572472306
