metric,mean,std
exact_accuracy,0.46229739252995067,0.08855129501817108
depth_accuracy,0.5926708949964764,0.053748597507169434
width_accuracy,0.6619097956307258,0.04339298789027499
depth_macro_f1,0.3091310879751481,0.061769114659893085
width_macro_f1,0.3300785140133731,0.13230325197157475
strategy_macro_f1,0.13786041482119912,0.08283442104408449
depth_abs_error,0.6301973220577871,0.12287228929562563
width_abs_error,0.7993305144467935,0.08305388141972879
cost_sensitive_error,1.029862579281184,0.13425545382951867
loss,0.4077613127817716,0.01816179599430119
mean_pred_llm_f1,0.3553099370614709,0.07232580693933319
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.28048694118570233,0.06252211571758398
mean_pred_minus_baseline_f1,0.07966702799841398,0.06616203627446751
