fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_support_fbeta,mean_best_support_fbeta,mean_baseline_support_fbeta,mean_best_minus_pred_support_fbeta,mean_pred_minus_baseline_support_fbeta,mean_pred_llm_f1,mean_baseline_llm_f1,loss
1,4,0.5882352941176471,0.7647058823529411,0.7058823529411765,0.2888888888888889,0.6033834586466165,0.3319327731092437,0.47058823529411764,0.7058823529411765,0.8235294117647058,17.0,0.31339038644541484,0.3541323242461763,0.2511060046557004,0.04074193780076133,0.062284381789714516,0.5,0.38235294117647056,0.22927795071912005
2,5,0.35294117647058826,0.47058823529411764,0.4117647058823529,0.2222222222222222,0.38125,0.1464285714285714,0.5294117647058824,1.0,1.0294117647058822,17.0,0.3180811639246604,0.37914566618054796,0.27607707050431507,0.06106450225588754,0.04200409342034535,0.4411764705882353,0.35294117647058826,0.18381567199451043
3,7,0.625,0.8125,0.625,0.4482758620689655,0.29642857142857143,0.22456140350877193,0.1875,0.5625,0.46875,16.0,0.3522989107666527,0.37975234107448747,0.3004294556018694,0.027453430307834783,0.05186945516478331,0.6060606060606061,0.45454545454545453,0.12245999298216617
