metric,mean,std
exact_accuracy,0.5077519379844961,0.046993626561946285
depth_accuracy,0.6152219873150107,0.049985583160832535
width_accuracy,0.6844608879492601,0.029040923610604966
depth_macro_f1,0.35704110704110703,0.05519973310443197
width_macro_f1,0.38353426740523516,0.06911768133398812
strategy_macro_f1,0.17418522150787596,0.04144901875510719
depth_abs_error,0.5771670190274841,0.08590380403344626
width_abs_error,0.7692036645525019,0.06983414497708386
cost_sensitive_error,0.9617688513037349,0.11913691291097081
loss,0.6864242994246244,0.01916858979150199
mean_pred_llm_f1,0.3799234823089135,0.0536175882582502
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.2558733959382597,0.04993457915530895
mean_pred_minus_baseline_f1,0.10428057324585661,0.05045641659758959
