fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,6,0.5581395348837209,0.6511627906976745,0.6976744186046512,0.41794871794871796,0.4397081413210445,0.2206349206349206,0.5116279069767442,0.6976744186046512,0.8604651162790697,43.0,0.43945966514459667,0.6443958068687701,0.28132458462837184,0.20493614172417346,0.15813508051622477,0.6752715910456326
2,8,0.5,0.6363636363636364,0.7045454545454546,0.34285714285714286,0.40454545454545454,0.14096836293632634,0.5454545454545454,0.7727272727272727,0.9318181818181818,44.0,0.3648668820000089,0.6228099885049038,0.26826209463051565,0.25794310650489477,0.09660478736949325,0.708558058496974
3,4,0.46511627906976744,0.5581395348837209,0.6511627906976745,0.3103174603174603,0.30634920634920637,0.16095238095238093,0.6744186046511628,0.8372093023255814,1.0930232558139534,43.0,0.335443899782135,0.6401848393678459,0.2773420479302832,0.30474093958571086,0.058101851851851856,0.6754432487312664
