fold,best_epoch,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,comparable_query_count,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,loss
1,4,0.5348837209302325,0.6744186046511628,0.6744186046511628,0.36071428571428577,0.34696969696969693,0.14253246753246754,0.5116279069767442,0.7906976744186046,0.9069767441860465,43.0,0.4115622961513372,0.6443958068687701,0.28132458462837184,0.23283351071743288,0.13023771152296534,0.2399582156497375
2,2,0.36363636363636365,0.5454545454545454,0.6136363636363636,0.2391513982642237,0.19014084507042253,0.051587301587301584,0.7045454545454546,0.8863636363636364,1.1477272727272727,44.0,0.2817224120908331,0.6228099885049038,0.26826209463051565,0.3410875764140706,0.013460317460317462,0.23658283039366243
3,8,0.4418604651162791,0.5813953488372093,0.6511627906976745,0.34215686274509804,0.27292110874200426,0.14648257725180802,0.6046511627906976,0.9069767441860465,1.058139534883721,43.0,0.33498093681917207,0.6401848393678459,0.2773420479302832,0.3052039025486738,0.05763888888888889,0.25711632789185046
