metric,mean,std
exact_accuracy,0.44679351656095845,0.0857301906707922
depth_accuracy,0.6004228329809725,0.06655423356743
width_accuracy,0.6464059196617337,0.03066905724398309
depth_macro_f1,0.3140075155745358,0.06548796233580445
width_macro_f1,0.2700105502607079,0.07845492788866688
strategy_macro_f1,0.11353411545719239,0.053683858404290186
depth_abs_error,0.6069415081042988,0.0964791651146664
width_abs_error,0.8613460183227625,0.06204527722417474
cost_sensitive_error,1.03761451726568,0.12168057161842073
loss,0.24455245797841677,0.011010741428623006
mean_pred_llm_f1,0.3427552150204474,0.06526812717072865
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.29304166322672576,0.05514232252958016
mean_pred_minus_baseline_f1,0.06711230595739055,0.05896226898815098
